a1,b1,a2,b2,a3,b3,c1,d1,c2,d2,c3,d3
0.004203,0.22535,0.062776,0.22537,0.030091,0.22533,0.067776,4.3885,0.0035661,0.40388,0.027614,1.4449
1.88E-05,0.21243,0.0004106,0.33221,0.1963,0.51733,0.0083602,0.36667,0.02951,1.3717,4.66E-07,37577
0.074584,0.88115,0.071538,0.045914,0.14532,0.8813,1.1213,18.848,0.0025174,0.15919,0.35843,6.1237
0.061164,0.099018,0.12576,0.099027,0.20083,1.8739,0.78724,9.3279,0.0015885,0.08919,0.27396,3.2069
0.12572,0.14826,0.17331,0.14826,0.18477,3.3423,0.19525,1.9734,0.52964,5.7004,0.0010823,0.056486
0.21208,0.20861,0.19981,0.20861,0.16825,5.5787,0.14205,1.3331,0.36383,3.808,0.00083501,0.040398
0.53302,0.29095,0.052901,10.355,0.092416,10.354,0.2618,2.7625,0.00088026,0.034768,0.11017,0.99342
0.33997,0.38157,0.30757,0.38157,0.13037,19.192,0.088333,0.76064,0.19659,2.074,0.00099622,0.030327
0.23056,0.48075,0.52689,0.48076,0.12435,39.531,0.0012462,0.026218,0.072045,0.5925,0.15308,1.5913
0.40837,0.58823,0.45442,0.58829,0.14456,121.25,0.059153,0.46396,0.124,1.2341,0.0016499,0.020587
0.13647,0.049997,0.77068,0.8819,0.15686,16.177,0.99682,20.013,0.03803,0.26052,0.12769,0.69956
0.30438,0.084201,0.75627,1.6407,0.10116,29.714,0.03452,0.2166,0.97175,12.124,0.12059,0.56087
0.77742,2.7106,0.057831,71.753,0.42639,0.091333,0.11341,0.44887,0.79011,8.6637,0.032329,0.1785
1.0654,1.0412,0.12014,68.711,0.18092,0.088753,1.1207,3.7006,0.030545,0.2141,1.5996,9.991
1.0528,1.3196,0.29944,0.12846,0.11746,102.19,0.96064,2.8748,0.026356,0.18208,1.3806,7.4917
1.0165,1.6918,0.44177,0.17418,0.1215,167.01,0.82797,2.3034,0.023302,0.15695,1.183,5.8578
